"Departement";"Code";"Dienstabteilung";"Konto";"Bezeichnung";"Rechnung 2011 Fr.";"Budget 2012 Fr.";"Budget 2013 Fr.";"Abweichung zum Vorjahr Fr.";"Bezeichnung (sofern gemäss Art. 4 FVO erforderlich)"
"Gesundheits- und Umweltdepartement";3000;"Gesundheits- und Umweltdepartement Zentrale Verwaltung";"4399 0000";"Übrige Entgelte";"-1’465’337.47";;;;
"Gesundheits- und Umweltdepartement";3000;"Gesundheits- und Umweltdepartement Zentrale Verwaltung";"4491 0000";"Anteil CO2-Abgabe";"-1’268’749.15";"-1’300’000";"-1’250’000";"-50’000";
"Gesundheits- und Umweltdepartement";3000;"Gesundheits- und Umweltdepartement Zentrale Verwaltung";"4610 0190";"Beiträge des Kantons an Spitäler und Heime";"-631’349.00";;;;
"Gesundheits- und Umweltdepartement";3000;"Gesundheits- und Umweltdepartement Zentrale Verwaltung";"4620 0101";"Beiträge von Gemeinden an Krankenhauskosten";"-16’134’730.00";"-4’000’000";;"-4’000’000";"Mit der Einführung der neuen Spitalfinanzierung per 1.1.2012 entfallen die Beitragszahlungen der Vertragsgemeinden."
"Gesundheits- und Umweltdepartement";3000;"Gesundheits- und Umweltdepartement Zentrale Verwaltung";500002;"Beitrag an Verein Diakonenhaus St. Stephanus, Rüschlikon für Pflegezentrum Erlenhof";"80’300.00";;;;
"Gesundheits- und Umweltdepartement";3000;"Gesundheits- und Umweltdepartement Zentrale Verwaltung";500003;"Beitrag an Verein Diakonenhaus St. Stephanus, Rüschlikon für Pflegezentrum Nidelbad";"203’600.00";;;;
"Gesundheits- und Umweltdepartement";3000;"Gesundheits- und Umweltdepartement Zentrale Verwaltung";500004;"Beitrag an Stiftung Diakoniewerk Neumünster, Zollikerberg für Krankenheim Rehalp";;"160’000";"200’000";"-40’000";"Der Betrag für das KH Rehalp (neu Pflegezentrum) mit Defizitgarantie wird mit StRB 332, 2011, auf Ende 2015 gekündigt (Teilkündigung). Die betriebliche Situation des Pflegezentrums Rehalp ist schwierig, insbesondere wegen denkmalpflegerischen Auflagen. Da die Gefahr eines Defizits aus dem Betrieb daher zunimmt, wird das Budget angepasst."
"Gesundheits- und Umweltdepartement";3000;"Gesundheits- und Umweltdepartement Zentrale Verwaltung";500005;"Beitrag an Diakonat Bethesda Basel für Krankenheim Bethesda, Küsnacht";"20’020.00";;;;
"Gesundheits- und Umweltdepartement";3000;"Gesundheits- und Umweltdepartement Zentrale Verwaltung";560002;"Rückzahlung der Beteiligung an MENUE AND MORE AG";"-6’360.00";;;;
"Gesundheits- und Umweltdepartement";3000;"Gesundheits- und Umweltdepartement Zentrale Verwaltung";560003;"Rückzahlung Beitrag durch Diakonat Bethesda Basel für Krankenheim Bethesda, Küsnacht";"-1’820.00";;;;
"Gesundheits- und Umweltdepartement";3010;"Städtische Gesundheitsdienste";;"Aufwand";"92’213’112.40";"71’266’100";"73’107’300";"-1’841’200";
"Gesundheits- und Umweltdepartement";3010;"Städtische Gesundheitsdienste";;"Ertrag";"-25’775’696.03";"-15’830’800";"-12’107’300";"-3’723’500";
"Gesundheits- und Umweltdepartement";3010;"Städtische Gesundheitsdienste";;"Saldo (+ Aufwandüberschuss/- Ertragsüberschuss)";"66’437’416.37";"55’435’300";"+61’000’000";"-5’564’700";
"Gesundheits- und Umweltdepartement";3010;"Städtische Gesundheitsdienste";"3001 0000";"Vergütungen an Behörden und Kommissionen";;"1’000";"2’000";"-1’000";
"Gesundheits- und Umweltdepartement";3010;"Städtische Gesundheitsdienste";"3010 0000";"Löhne des Verwaltungs- und Betriebspersonals";"10’120’523.00";"13’658’000";"14’220’800";"-562’800";"Schaffung von 4.1 zusätzlichen Stellen (2.0 Stellen für die Abwicklung der auszurichtenden Pflegebeiträge im ambulanten Bereich, 4.5 Stellen von Kompass gemäss Gemeinderatsbeschluss vom 27. Juni 2012, 2.6 Stellen für die Präventive Beratung). Wegfall der befristeten Stellen für Kompass und Leila, total 5.0 Stellen. Die Löhne für das Budget 2013 enthalten die Lohnmassnahmen 2012."
"Gesundheits- und Umweltdepartement";3010;"Städtische Gesundheitsdienste";"3012 0000";"Löhne des Personals in Ausbildung";"71’337.35";"105’400";"113’100";"-7’700";
"Gesundheits- und Umweltdepartement";3010;"Städtische Gesundheitsdienste";"3030 0000";"Sozialversicherungsbeiträge";"746’707.35";"1’005’800";"1’036’200";"-30’400";
"Gesundheits- und Umweltdepartement";3010;"Städtische Gesundheitsdienste";"3040 0000";"Personalversicherungsbeiträge";"903’003.00";"1’484’700";"1’559’700";"-75’000";
"Gesundheits- und Umweltdepartement";3010;"Städtische Gesundheitsdienste";"3050 0000";"Unfall- und Krankenversicherungsbeiträge";"22’570.00";"27’700";"28’800";"-1’100";
"Gesundheits- und Umweltdepartement";3010;"Städtische Gesundheitsdienste";"3062 0000";"Verpflegungszulagen";"39’052.10";"101’300";"108’000";"-6’700";
"Gesundheits- und Umweltdepartement";3010;"Städtische Gesundheitsdienste";"3080 0000";"Entschädigungen für temporäre Arbeitskräfte";"128’825.50";"20’000";"10’000";"+10’000";
"Gesundheits- und Umweltdepartement";3010;"Städtische Gesundheitsdienste";"3091 0000";"Aus- und Weiterbildung des Personals";"63’709.15";"130’600";"148’100";"-17’500";
"Gesundheits- und Umweltdepartement";3010;"Städtische Gesundheitsdienste";"3092 0000";"Personalwerbung";"10’510.05";"33’400";"41’300";"-7’900";
"Gesundheits- und Umweltdepartement";3010;"Städtische Gesundheitsdienste";"3096 0000";"Verbilligungen für das Personal";;"16’000";"15’900";100;
"Gesundheits- und Umweltdepartement";3010;"Städtische Gesundheitsdienste";"3099 0000";"Übriger Personalaufwand";"23’744.40";"59’900";"52’700";"+7’200";
"Gesundheits- und Umweltdepartement";3010;"Städtische Gesundheitsdienste";"3100 0000";"Büromaterial";"2’188.90";"8’000";"5’300";"+2’700";
"Gesundheits- und Umweltdepartement";3010;"Städtische Gesundheitsdienste";"3101 0000";"Druck-, Reproduktions- und Vervielfältigungskosten";"21’027.54";"37’500";"64’100";"-26’600";"Neuauflage der Zeitschrift “Intercura” (Fr. 15’000.-)."
"Gesundheits- und Umweltdepartement";3010;"Städtische Gesundheitsdienste";"3102 0000";"Fachliteratur und Zeitschriften";"121’149.22";"154’500";"153’000";"+1’500";
"Gesundheits- und Umweltdepartement";3010;"Städtische Gesundheitsdienste";"3106 0000";"Amtliche Publikationen";;"20’000";"2’000";"+18’000";"Die Publikation der Inserate des ärztlichen Notfalldienstes wird ab 2012 durch das Gesundheits- und Umweltdepartement, Zentrale Verwaltung wahrgenommen."
"Gesundheits- und Umweltdepartement";3010;"Städtische Gesundheitsdienste";"3107 0000";"Temporäre Aktionen in Öffentlichkeitsarbeit";"13’871.60";"55’400";"67’900";"-12’500";
"Gesundheits- und Umweltdepartement";3010;"Städtische Gesundheitsdienste";"3110 0000";"Anschaffungen Büromaschinen und -geräte";254;"3’500";500;"+3’000";
"Gesundheits- und Umweltdepartement";3010;"Städtische Gesundheitsdienste";"3111 0000";"Anschaffungen Maschinen, Geräte, Fahrzeuge";281.5;"23’900";"64’600";"-40’700";"Kauf zweier Ersatzfahrzeuge für die Suchtbehandlung Frankental und die Medizinisch-sozialen Dienste."
"Gesundheits- und Umweltdepartement";3010;"Städtische Gesundheitsdienste";"3112 0000";"Anschaffungen IT-Anlagen Hardware";"1’431.90";"11’800";"10’000";"+1’800";
"Gesundheits- und Umweltdepartement";3010;"Städtische Gesundheitsdienste";"3113 0000";"Anschaffungen IT-Anlagen Software";"38’712.00";"66’900";"80’000";"-13’100";
"Gesundheits- und Umweltdepartement";3010;"Städtische Gesundheitsdienste";"3114 0000";"Anschaffungen Kleider, Wäsche und Vorhänge";"2’679.65";"20’000";"16’500";"+3’500";
"Gesundheits- und Umweltdepartement";3010;"Städtische Gesundheitsdienste";"3116 0000";"Anschaffungen medizinische Geräte";"2’618.09";"21’000";"124’000";"-103’000";"Einrichtung für das neue zahnärztliche Angebot für marginalisierte Menschen in den Medizinisch-sozialen Diensten."
"Gesundheits- und Umweltdepartement";3010;"Städtische Gesundheitsdienste";"3119 0000";"Anschaffungen übrige Mobilien";"55’284.10";"64’700";"52’900";"+11’800";
"Gesundheits- und Umweltdepartement";3010;"Städtische Gesundheitsdienste";"3120 0000";"Wasser, Energie und Heizmaterialien";"79’818.70";"97’000";"69’500";"+27’500";
"Gesundheits- und Umweltdepartement";3010;"Städtische Gesundheitsdienste";"3130 0000";"Betriebs-, Verbrauchs- und Produktionsmaterialien";"91’032.09";"104’800";"90’900";"+13’900";
"Gesundheits- und Umweltdepartement";3010;"Städtische Gesundheitsdienste";"3132 0000";"IT-Verbrauchsmaterialien";212.6;"2’000";"2’000";;
"Gesundheits- und Umweltdepartement";3010;"Städtische Gesundheitsdienste";"3135 0000";"Lebensmittel";"189’020.41";"202’800";"198’000";"+4’800";
"Gesundheits- und Umweltdepartement";3010;"Städtische Gesundheitsdienste";"3136 0000";"Medizinische Bedürfnisse";"612’655.92";"695’200";"664’200";"+31’000";
"Gesundheits- und Umweltdepartement";3010;"Städtische Gesundheitsdienste";"3141 0000";"Unterhalt und Reinigung der Liegenschaften des VV";"158’838.45";"171’500";"145’500";"+26’000";
"Gesundheits- und Umweltdepartement";3010;"Städtische Gesundheitsdienste";"3151 0000";"Unterhalt Maschinen, Geräte, Fahrzeuge";"37’927.25";"34’500";"37’000";"-2’500";
"Gesundheits- und Umweltdepartement";3010;"Städtische Gesundheitsdienste";"3152 0000";"Unterhalt IT-Anlagen Hardware";74.3;"17’200";"2’000";"+15’200";"Wegfall des Hardware-Unterhalts durch Dritte in den Bereichen Stadtärztlicher Dienst und Psychiatrisch-Psychologische Poliklinik durch Inbetriebnahme der städtischen Standard-Arbeitsplätze."
"Gesundheits- und Umweltdepartement";3010;"Städtische Gesundheitsdienste";"3153 0000";"Unterhalt IT-Anlagen Software";"21’079.40";"36’000";"40’000";"-4’000";
"Gesundheits- und Umweltdepartement";3010;"Städtische Gesundheitsdienste";"3156 0000";"Unterhalt medizinische Geräte";"8’941.40";"10’000";"9’500";500;
"Gesundheits- und Umweltdepartement";3010;"Städtische Gesundheitsdienste";"3160 0000";"Miete und Pacht von Liegenschaften";"194’184.00";"201’500";"196’500";"+5’000";
"Gesundheits- und Umweltdepartement";3010;"Städtische Gesundheitsdienste";"3161 0000";"Mieten und Benutzungskosten";"10’640.60";"20’100";"13’100";"+7’000";
"Gesundheits- und Umweltdepartement";3010;"Städtische Gesundheitsdienste";"3170 0000";"Reise- und Spesenentschädigungen des Personals";"40’451.20";"85’500";"64’700";"+20’800";
"Gesundheits- und Umweltdepartement";3010;"Städtische Gesundheitsdienste";"3171 0000";"Auslagen für Veranstaltungen, Reisen, Lager";"44’240.80";"34’000";"39’000";"-5’000";
"Gesundheits- und Umweltdepartement";3010;"Städtische Gesundheitsdienste";"3180 0000";"Entschädigungen für Dienstleistungen Dritter";"2’961’593.95";"3’586’500";"2’870’100";"+716’400";"Wegfallende Kosten im Vermittlungs- und Rückführungszentrum (VRZ) durch dessen Schliessung im Juni 2012 (- Fr. 857’000.-) und höhere Kosten in der Zentralen Ausnüchterungsstelle (ZAS) durch den Ausbau der medizinischen Dienstleistungen (+ Fr. 584’000.-), gemäss Beschluss des Gemeinderates vom 29. Februar 2012. Die Kosten für die externen Sicherheitsdienstleistungen in der ZAS werden durch die Stadtpolizei nicht mehr belastet (- Fr. 367’000.-)."
"Gesundheits- und Umweltdepartement";3010;"Städtische Gesundheitsdienste";"3181 0000";"Post- und Telekommunikationsgebühren";"157’298.02";"175’100";"160’300";"+14’800";
"Gesundheits- und Umweltdepartement";3010;"Städtische Gesundheitsdienste";"3183 0000";"Bankspesen";469.8;500;500;;
"Gesundheits- und Umweltdepartement";3010;"Städtische Gesundheitsdienste";"3184 0000";"Sachversicherungsprämien";"9’489.90";"17’800";"14’200";"+3’600";
"Gesundheits- und Umweltdepartement";3010;"Städtische Gesundheitsdienste";"3185 0000";"Arbeitsentgelte an KlientInnen in Heimen";"70’966.35";"71’500";"71’500";;
"Gesundheits- und Umweltdepartement";3010;"Städtische Gesundheitsdienste";"3186 0000";"Entschädigungen für Dienstleistungen Dritter im Zusammenhang mit Projektbegleitung, -beratung und Organisationsentwicklung";"230’078.30";"351’600";"274’500";"+77’100";
"Gesundheits- und Umweltdepartement";3010;"Städtische Gesundheitsdienste";"3187 0000";"Steuern und Abgaben";"1’660.30";"9’300";"9’400";-100;
"Gesundheits- und Umweltdepartement";3010;"Städtische Gesundheitsdienste";"3189 0000";"Entschädigungen für IT-Leistungen Dritter";"12’654.15";"75’700";"50’000";"+25’700";
"Gesundheits- und Umweltdepartement";3010;"Städtische Gesundheitsdienste";"3197 0000";"Mitgliederbeiträge";"6’483.80";"14’400";"13’400";"+1’000";
"Gesundheits- und Umweltdepartement";3010;"Städtische Gesundheitsdienste";"3199 0000";"Übriger Sachaufwand";"30’711.12";"21’900";"11’500";"+10’400";
"Gesundheits- und Umweltdepartement";3010;"Städtische Gesundheitsdienste";"3300 0000";"Abschreibungen von Guthaben des FV";"52’420.00";"78’100";"54’500";"+23’600";
"Gesundheits- und Umweltdepartement";3010;"Städtische Gesundheitsdienste";"3650 0100";"Beiträge an Spitäler und Heime";"22’005’333.15";;;;
"Gesundheits- und Umweltdepartement";3010;"Städtische Gesundheitsdienste";"3650 0110";"Beiträge an Krankenkassen für unerhältliche Prämien";"9’364’471.99";"2’500’000";;"+2’500’000";"Infolge der bundesweiten Aufhebung der Leistungssperren in der Krankenversicherung und der Neuregelung der Abgeltung uneinbringlicher Krankenkassenprämien werden die Ausstände nicht mehr von den Gemeinden übernommen; die Rückerstattung durch den Kanton entfällt ebenfalls (siehe Konto 4510 0210)."
"Gesundheits- und Umweltdepartement";3010;"Städtische Gesundheitsdienste";"3650 0131";"Beitrag an Lungenliga der Stadt Zürich";;"100’000";"100’000";;
"Gesundheits- und Umweltdepartement";3010;"Städtische Gesundheitsdienste";"3650 0400";"Beiträge an Haus- und Gemeindekrankenpflegen";"960’999.70";"842’000";"945’000";"-103’000";"Zu erwartende Anpassungen der Gesundheitsdirektion des Kantons Zürich (Einführung der schweizweiten Tarife im Pflegebereich inkl. 5-Minuten-Rundung) führen zu höheren Spitexbeiträgen der Stadt im Umfang von rund 2.0 Millionen Franken. Der weitere Nachfrage- und Kostenanstieg führt zu einer Steigerung der städtischen Spitex-Beiträge um rund 2.5 Millionen Franken."
"Gesundheits- und Umweltdepartement";3010;"Städtische Gesundheitsdienste";"3650 3000";"Beiträge an private Unternehmungen für Leistungen der ambulanten Krankenpflege (Spitex)";"21’948’738.45";"23’145’000";"25’229’900";"-2’084’900";"Siehe Begründung zu Konto 3650 0400."
"Gesundheits- und Umweltdepartement";3010;"Städtische Gesundheitsdienste";"3650 4000";"Beiträge an private Unternehmungen für nichtpflegerische Leistungen (Spitex)";"17’999’160.80";"17’135’700";"18’974’700";"-1’839’000";"Siehe Begründung zu Konto 3650 0400."
"Gesundheits- und Umweltdepartement";3010;"Städtische Gesundheitsdienste";"3650 5000";"Beiträge an private Unternehmungen für Leistungen der Akut- und Übergangspflege (Spitex)";"51’345.10";"1’611’600";"2’028’400";"-416’800";"Siehe Begründung zu Konto 3650 0400."
"Gesundheits- und Umweltdepartement";3010;"Städtische Gesundheitsdienste";"3660 0210";"Beiträge an obligatorisch versicherte Wöchnerinnen";"287’200.00";"290’000";"290’000";;
"Gesundheits- und Umweltdepartement";3010;"Städtische Gesundheitsdienste";"3660 0400";"Beiträge an Hausgeburten und Wochenbettpflege";"379’555.00";"340’000";"380’000";"-40’000";
"Gesundheits- und Umweltdepartement";3010;"Städtische Gesundheitsdienste";"3900 0000";"Vergütung an HRZ für Aus- und Weiterbildung";"6’000.00";"22’700";"25’700";"-3’000";
"Gesundheits- und Umweltdepartement";3010;"Städtische Gesundheitsdienste";"3910 0000";"Vergütung an OIZ für IT-Leistungen";"682’428.00";"688’600";"724’900";"-36’300";
"Gesundheits- und Umweltdepartement";3010;"Städtische Gesundheitsdienste";"3911 0000";"Vergütung an SBMV für Material/Dienstleistungen";"114’568.00";"135’500";"125’200";"+10’300";
"Gesundheits- und Umweltdepartement";3010;"Städtische Gesundheitsdienste";"3912 0000";"Vergütung an RVZ für Versicherungsprämien";;;"3’900";"-3’900";
"Gesundheits- und Umweltdepartement";3010;"Städtische Gesundheitsdienste";"3913 0000";"Vergütung an IMMO für Raumkosten";"683’649.60";"880’600";"868’400";"+12’200";
"Gesundheits- und Umweltdepartement";3010;"Städtische Gesundheitsdienste";"3914 0000";"Vergütung an IMMO für Verwaltungsparkplätze";"1’800.00";"3’600";"3’600";;
"Gesundheits- und Umweltdepartement";3010;"Städtische Gesundheitsdienste";"3921 0000";"Vergütung von Kontokorrentzinsen";"34’492.40";"31’000";"34’000";"-3’000";
"Gesundheits- und Umweltdepartement";3010;"Städtische Gesundheitsdienste";"3982 0000";"Vergütung für Verwaltungskosten";"3’400.00";"3’400";"3’500";-100;
"Gesundheits- und Umweltdepartement";3010;"Städtische Gesundheitsdienste";"3983 0000";"Vergütung an Finanzverwaltung für Annuitätenverpflichtung gegenüber der Pensionskasse (Ablösung Leistungsprimat 1995)";"277’547.00";"290’900";"290’900";;
"Gesundheits- und Umweltdepartement";3010;"Städtische Gesundheitsdienste";"4320 0000";"Kostgelder und Taxen";"-4’352’465.55";"-5’461’600";"-5’185’500";"-276’100";"Wegfall der Erträge im Vermittlungs- und Rückführungszentrum (VRZ) durch die Schliessung des VRZ im Juni 2012 (- Fr. 50’000.-), höhere Erträge in der Zentralen Ausnüchterungsstelle (+ Fr. 121’000.-), gemäss Beschluss des Gemeinderates vom 29. Februar 2012. Die Erträge in der ZAS werden durch die Stadtpolizei nicht mehr gutgeschrieben (- Fr. 420’000.-)."
"Gesundheits- und Umweltdepartement";3010;"Städtische Gesundheitsdienste";"4340 0000";"Benutzungsgebühren und Dienstleistungen";"-143’937.75";"-157’200";"-157’200";;
"Gesundheits- und Umweltdepartement";3010;"Städtische Gesundheitsdienste";"4350 0000";"Verkäufe";"-179’273.95";"-200’200";"-173’700";"-26’500";
"Gesundheits- und Umweltdepartement";3010;"Städtische Gesundheitsdienste";"4360 0000";"Rückerstattungen Dritter";"-462’254.04";"-309’300";"-154’300";"-155’000";"Geringere Rückerstattungen aus übernommenen Verlustscheinen für Krankenkassenprämien infolge der bundesweiten Neuregelung der Abgeltung uneinbringlicher Prämien (- Fr. 50’000.-). Durch den Abschluss des Projekts Kompass entfallen die Rückerstattungen Dritter (- Fr. 105’000.-)."
"Gesundheits- und Umweltdepartement";3010;"Städtische Gesundheitsdienste";"4361 0000";"Sachversicherungsleistungen";"-2’160.65";"-4’500";"-4’500";;
"Gesundheits- und Umweltdepartement";3010;"Städtische Gesundheitsdienste";"4365 0000";"Vergütung des Personals für die Verpflegung";"-25’644.25";"-21’000";"-21’000";;
"Gesundheits- und Umweltdepartement";3010;"Städtische Gesundheitsdienste";"4366 0000";"Versicherungs- und Haftpflichtleistungen für das Personal";"-177’807.80";"-228’300";"-121’700";"-106’600";"Vom Geschäftsgang abhängig."
"Gesundheits- und Umweltdepartement";3010;"Städtische Gesundheitsdienste";"4367 0000";"Rückerstattungen von Personalaufwendungen";"-447’841.00";"-3’205’800";"-3’179’400";"-26’400";
"Gesundheits- und Umweltdepartement";3010;"Städtische Gesundheitsdienste";"4399 0000";"Übrige Entgelte";"-42’822.05";"-23’000";"-23’000";;
"Gesundheits- und Umweltdepartement";3010;"Städtische Gesundheitsdienste";"4510 0210";"Rückerstattungen des Kantons für übernommene Krankenkassenprämien";"-9’364’471.99";"-2’500’000";;"-2’500’000";"Siehe Begründung zu Konto 3650 0110."
"Gesundheits- und Umweltdepartement";3010;"Städtische Gesundheitsdienste";"4610 0000";"Beiträge des Kantons";"-3’286’817.00";"-3’694’900";"-3’087’000";"-607’900";"Wegfall der Staatsbeiträge für das Vermittlungs- und Rückführungszentrum (VRZ) durch die Schliessung des VRZ im Juni 2012."
"Gesundheits- und Umweltdepartement";3010;"Städtische Gesundheitsdienste";"4610 3000";"Beiträge des Kantons an die ambulante Krankenpflege (Spitex)";"-4’400’000.00";;;;
"Gesundheits- und Umweltdepartement";3010;"Städtische Gesundheitsdienste";"4610 4000";"Beiträge des Kantons an die nichtpflegerischen Leistungen (Spitex)";"-2’857’000.00";;;;
"Gesundheits- und Umweltdepartement";3010;"Städtische Gesundheitsdienste";"4610 5000";"Beiträge des Kantons an die Akut- und Übergangspflege (Spitex)";"-11’000.00";;;;
"Gesundheits- und Umweltdepartement";3010;"Städtische Gesundheitsdienste";"4620 0000";"Beiträge von Gemeinden";"-22’200.00";"-25’000";;"-25’000";"Wegfall der freiwilligen Beiträge der Gemeinden an das Vermittlungs- und Rückführungszentrum (VRZ) durch die Schliessung des VRZ im Juni 2012."
"Gesundheits- und Umweltdepartement";3015;"Stadtärztlicher Dienst";;"Aufwand";"8’267’859.52";;;;
"Gesundheits- und Umweltdepartement";3015;"Stadtärztlicher Dienst";;"Ertrag";"-6’918’096.32";;;;
"Gesundheits- und Umweltdepartement";3015;"Stadtärztlicher Dienst";;"Saldo (+ Aufwandüberschuss/- Ertragsüberschuss)";"1’349’763.20";;;;
"Gesundheits- und Umweltdepartement";3015;"Stadtärztlicher Dienst";"3010 0000";"Löhne des Verwaltungs- und Betriebspersonals";"6’337’501.15";;;;
"Gesundheits- und Umweltdepartement";3015;"Stadtärztlicher Dienst";"3030 0000";"Sozialversicherungsbeiträge";"458’529.20";;;;
"Gesundheits- und Umweltdepartement";3015;"Stadtärztlicher Dienst";"3040 0000";"Personalversicherungsbeiträge";"674’539.65";;;;
"Gesundheits- und Umweltdepartement";3015;"Stadtärztlicher Dienst";"3050 0000";"Unfall- und Krankenversicherungsbeiträge";"11’956.60";;;;
"Gesundheits- und Umweltdepartement";3015;"Stadtärztlicher Dienst";"3062 0000";"Verpflegungszulagen";"11’400.00";;;;
"Gesundheits- und Umweltdepartement";3015;"Stadtärztlicher Dienst";"3091 0000";"Aus- und Weiterbildung des Personals";"47’127.70";;;;
"Gesundheits- und Umweltdepartement";3015;"Stadtärztlicher Dienst";"3092 0000";"Personalwerbung";"17’709.00";;;;
"Gesundheits- und Umweltdepartement";3015;"Stadtärztlicher Dienst";"3099 0000";"Übriger Personalaufwand";"24’391.05";;;;
"Gesundheits- und Umweltdepartement";3015;"Stadtärztlicher Dienst";"3100 0000";"Büromaterial";3.75;;;;
"Gesundheits- und Umweltdepartement";3015;"Stadtärztlicher Dienst";"3101 0000";"Druck-, Reproduktions- und Vervielfältigungskosten";"16’865.70";;;;
"Gesundheits- und Umweltdepartement";3015;"Stadtärztlicher Dienst";"3102 0000";"Fachliteratur und Zeitschriften";"13’810.41";;;;
"Gesundheits- und Umweltdepartement";3015;"Stadtärztlicher Dienst";"3106 0000";"Amtliche Publikationen";"15’567.00";;;;
"Gesundheits- und Umweltdepartement";3015;"Stadtärztlicher Dienst";"3111 0000";"Anschaffungen Maschinen, Geräte, Fahrzeuge";75.5;;;;
"Gesundheits- und Umweltdepartement";3015;"Stadtärztlicher Dienst";"3130 0000";"Betriebs-, Verbrauchs- und Produktionsmaterialien";"1’487.90";;;;
"Gesundheits- und Umweltdepartement";3015;"Stadtärztlicher Dienst";"3136 0000";"Medizinische Bedürfnisse";"13’556.15";;;;
"Gesundheits- und Umweltdepartement";3015;"Stadtärztlicher Dienst";"3151 0000";"Unterhalt Maschinen, Geräte, Fahrzeuge";"4’539.35";;;;
"Gesundheits- und Umweltdepartement";3015;"Stadtärztlicher Dienst";"3152 0000";"Unterhalt IT-Anlagen Hardware";"17’000.00";;;;
"Gesundheits- und Umweltdepartement";3015;"Stadtärztlicher Dienst";"3160 0000";"Miete und Pacht von Liegenschaften";"18’000.00";;;;
"Gesundheits- und Umweltdepartement";3015;"Stadtärztlicher Dienst";"3170 0000";"Reise- und Spesenentschädigungen des Personals";"42’515.45";;;;
"Gesundheits- und Umweltdepartement";3015;"Stadtärztlicher Dienst";"3180 0000";"Entschädigungen für Dienstleistungen Dritter";"104’996.15";;;;
"Gesundheits- und Umweltdepartement";3015;"Stadtärztlicher Dienst";"3181 0000";"Post- und Telekommunikationsgebühren";"7’187.35";;;;
"Gesundheits- und Umweltdepartement";3015;"Stadtärztlicher Dienst";"3184 0000";"Sachversicherungsprämien";"16’898.00";;;;
"Gesundheits- und Umweltdepartement";3015;"Stadtärztlicher Dienst";"3187 0000";"Steuern und Abgaben";"7’585.50";;;;
"Gesundheits- und Umweltdepartement";3015;"Stadtärztlicher Dienst";"3189 0000";"Entschädigungen für IT-Leistungen Dritter";"4’100.30";;;;
"Gesundheits- und Umweltdepartement";3015;"Stadtärztlicher Dienst";"3197 0000";"Mitgliederbeiträge";"5’856.00";;;;
"Gesundheits- und Umweltdepartement";3015;"Stadtärztlicher Dienst";"3199 0000";"Übriger Sachaufwand";14.91;;;;
"Gesundheits- und Umweltdepartement";3015;"Stadtärztlicher Dienst";"3650 0131";"Beitrag an Lungenliga der Stadt Zürich";"100’000.00";;;;
"Gesundheits- und Umweltdepartement";3015;"Stadtärztlicher Dienst";"3910 0000";"Vergütung an OIZ für IT-Leistungen";"45’131.00";;;;
"Gesundheits- und Umweltdepartement";3015;"Stadtärztlicher Dienst";"3911 0000";"Vergütung an SBMV für Material/Dienstleistungen";"20’434.75";;;;
"Gesundheits- und Umweltdepartement";3015;"Stadtärztlicher Dienst";"3913 0000";"Vergütung an IMMO für Raumkosten";"211’440.00";;;;
"Gesundheits- und Umweltdepartement";3015;"Stadtärztlicher Dienst";"3914 0000";"Vergütung an IMMO für Verwaltungsparkplätze";"4’140.00";;;;
"Gesundheits- und Umweltdepartement";3015;"Stadtärztlicher Dienst";"3983 0000";"Vergütung an Finanzverwaltung für Annuitätenverpflichtung gegenüber der Pensionskasse (Ablösung Leistungsprimat 1995)";"13’500.00";;;;
"Gesundheits- und Umweltdepartement";3015;"Stadtärztlicher Dienst";"4350 0000";"Verkäufe";"-33’570.00";;;;
"Gesundheits- und Umweltdepartement";3015;"Stadtärztlicher Dienst";"4360 0000";"Rückerstattungen Dritter";-246.65;;;;
"Gesundheits- und Umweltdepartement";3015;"Stadtärztlicher Dienst";"4366 0000";"Versicherungs- und Haftpflichtleistungen für das Personal";"-116’108.30";;;;
"Gesundheits- und Umweltdepartement";3015;"Stadtärztlicher Dienst";"4367 0000";"Rückerstattungen von Personalaufwendungen";"-5’905’910.00";;;;
"Gesundheits- und Umweltdepartement";3015;"Stadtärztlicher Dienst";"4399 0000";"Übrige Entgelte";-0.22;;;;
"Gesundheits- und Umweltdepartement";3015;"Stadtärztlicher Dienst";"4650 0000";"Beiträge von privaten Unternehmungen";"-862’261.15";;;;
"Gesundheits- und Umweltdepartement";3020;"Pflegezentren der Stadt Zürich";;"Aufwand";"221’947’792.78";"232’997’500";"238’008’100";"-5’010’600";
"Gesundheits- und Umweltdepartement";3020;"Pflegezentren der Stadt Zürich";;"Ertrag";"-232’400’038.75";"-227’842’500";"-244’796’700";"+16’954’200";
"Gesundheits- und Umweltdepartement";3020;"Pflegezentren der Stadt Zürich";;"Saldo (+ Aufwandüberschuss/- Ertragsüberschuss)";"-10’452’245.97";"5’155’000";"-6’788’600";"+11’943’600";
"Gesundheits- und Umweltdepartement";3020;"Pflegezentren der Stadt Zürich";;"Ausgaben";"473’733.30";;;;
"Gesundheits- und Umweltdepartement";3020;"Pflegezentren der Stadt Zürich";;"Einnahmen";;;;;
"Gesundheits- und Umweltdepartement";3020;"Pflegezentren der Stadt Zürich";;"Nettoinvestition";"473’733.30";;;;
